time,last_price,price_std,last_price-price_std,buy_area,sell_area,buy_area-sell_area,total_buy,total_sell,total_buy/total_sell,total_sell/total_buy,buy_std/sell_std,sell_std/buy_std,buy_area/sell_area,total_buy_area,total_sell_area,rsi
2018-08-03 00:14:59,410.36,411.9456503552459,-1.585650355245889,2164767.0,2752690.0,-587923.0,1442.4573145099994,1675.1363695300001,0.861098439952513,1.1613074110959336,1.263816280806572,0.7912542473038854,0.7864187394875558,27850161,39885808,39.007523275827054
2018-08-03 00:15:30,410.37,411.9102405191803,-1.5402405191803155,2174119.0,2772076.0,-597957.0,1408.1145412700002,1778.9187942200003,0.7915563913570399,1.2633338709900446,1.2671003717472118,0.7892034619334017,0.7842927105894644,27923615,39942766,38.993980675148705
2018-08-03 00:16:01,410.36,411.87483068311474,-1.5148306831147238,2185068.0,2807468.0,-622400.0,1420.83480771,1694.12493894,0.8386836029927076,1.1923447608033122,1.2768121301775148,0.7832005792903693,0.7783055764126252,27946184,39892884,38.993980675148705
2018-08-03 00:16:34,410.36,411.83925691262294,-1.4792569126229296,2291996.0,2878978.0,-586982.0,1401.5954155099996,1934.6710881400002,0.7244618602625104,1.3803349145773496,1.2486333979897726,0.8008755825448383,0.7961144545043415,27929226,39941302,38.99668844295866
2018-08-03 00:17:05,410.36,411.8038470765574,-1.4438470765574039,2272189.0,2938054.0,-665865.0,1392.9490995400001,1822.2885406100006,0.7643954667429991,1.3082233523190354,1.285892190001779,0.7776701715550637,0.773365295532349,27965156,39949741,38.95070747382476
2018-08-03 00:17:36,409.31,411.75106019131147,-2.4410601913114647,2309834.0,3033225.0,-723391.0,1502.2733282,2011.53801451,0.7468282067569803,1.3389960247248702,1.3055118110236221,0.7659831121833535,0.761510933082775,28034372,40086068,38.95070747382476
2018-08-03 00:18:07,409.14,411.69548642081975,-2.5554864208197614,2379342.0,3066840.0,-687498.0,1593.7056524399998,1779.63579553,0.8955234865712354,1.1166652968854927,1.2815896739130435,0.7802809435462497,0.7758285401259929,28266078,40076850,38.86579342244531
2018-08-03 00:18:38,409.61,411.6476175683607,-2.0376175683607016,2341823.0,3006687.0,-664864.0,1312.22130472,1790.0525876100003,0.7330629914465364,1.3641392508803682,1.2764269701672701,0.7834369089435288,0.7788715619550688,28233201,40166642,38.925059423333714
2018-08-03 00:19:09,409.6,411.5997487159016,-1.9997487159016032,2365944.0,2854637.0,-488693.0,1454.67199535,1451.08494798,1.0024719761410203,0.997534119456849,1.199624637433885,0.8335940833451856,0.8288073054472425,28254886,40116205,38.925059423333714
2018-08-03 00:19:40,409.6,411.5518798634426,-1.9518798634425707,2295155.0,2687198.0,-392043.0,1328.5282755000003,1604.8686066999999,0.827811242586256,1.2080048549181215,1.1647617372955865,0.8585446859903382,0.8541071405977527,28115727,40088239,38.899445127794124
2018-08-03 00:20:11,409.61,411.5125356011475,-1.9025356011474628,2342974.0,2733449.0,-390475.0,1712.3074832700001,1892.3684105099999,0.9048489045579277,1.1051568885841325,1.1603513606613847,0.8618079263767255,0.8571493377048557,28187427,40077161,38.899445127794124
2018-08-03 00:20:42,409.0,411.45942084704916,-2.4594208470491594,2347578.0,2704976.0,-357398.0,1329.3880479900001,1723.13425014,0.7714941815369237,1.2961860554902187,1.1454576678687962,0.8730134932533733,0.8678738739271624,28080744,40012656,38.86982855254994
2018-08-03 00:21:14,408.79,411.40286346999994,-2.6128634699999225,2318119.0,2596223.0,-278104.0,1384.9778245399998,1192.1879337799996,1.1617109897671356,0.8607992941518522,1.114375108638971,0.8973639057869287,0.8928813125837033,27944649,39970414,38.80670762007632
2018-08-03 00:21:45,409.0,411.35368314213116,-2.3536831421311604,2436959.0,2607193.0,-170234.0,1622.6748968999998,1632.8017801099998,0.993797848989779,1.0062408577524349,1.0648255333223087,0.9391209815188694,0.934706022914299,28084420,40135885,38.80670762007632
2018-08-03 00:22:16,409.86,411.31892904377054,-1.4589290437705245,2227083.0,2441671.0,-214588.0,1196.1387646699998,1485.4810201199998,0.8052198233898495,1.2418968969121456,1.090580365214247,0.9169429708222812,0.9121142856674793,28008467,40208724,38.87251910480289
2018-08-03 00:22:48,410.11,411.2884372404919,-1.17843724049186,2473946.0,2348363.0,125583.0,1927.7010444399994,1491.3697912299997,1.292570800197138,0.7736520118259548,0.9463207701093164,1.0567241379310346,1.0534768261976535,28210576,40309258,38.97909467120471
2018-08-03 00:23:19,410.24,411.26433887983615,-1.0243388798361366,2564591.0,2451804.0,112787.0,1600.4919549799997,1429.32498367,1.1197537112032447,0.8930535259628102,0.951457840819543,1.051018717906245,1.0460016379775872,28356436,40337740,38.97909467120471
2018-08-03 00:23:50,411.0,411.2528634700001,-0.25286347000007936,2563858.0,2312013.0,251845.0,1615.6465952299998,1286.1764273400004,1.256162499083731,0.7960753491124111,0.8979173240769959,1.1136882797399403,1.1089288857804864,28545188,40267520,39.10258550961686
2018-08-03 00:24:21,411.0,411.2412241257378,-0.2412241257378014,2859984.0,2260262.0,599722.0,1916.5311469100002,1356.33963197,1.4130171394655455,0.7077054991549758,0.7880419382261263,1.268967997123337,1.2653329569757843,28817015,40246614,39.10258550961686
2018-08-03 00:24:52,411.96,411.2436831421312,0.716316857868776,2860099.0,2253472.0,606627.0,1920.30645255,1464.93667071,1.3108460529009074,0.7628660877354714,0.7849950361650829,1.2738934056007227,1.2691965997358743,29162018,40206090,39.228231361224054
