time,last_price,price_std,last_price-price_std,buy_area,sell_area,buy_area-sell_area,total_buy,total_sell,total_buy/total_sell,total_sell/total_buy,buy_std/sell_std,sell_std/buy_std,buy_area/sell_area,total_buy_area,total_sell_area
2018-08-02 20:36:06,7568.5,7565.80184557541,2.6981544245900295,5635105.0,3374174.0,2260931.0,211.25194469999997,127.57482134000001,1.6559062554905863,0.6038989204154769,0.6090584028605482,1.6418786692759295,1.6700694747810871,89632638,49010436
2018-08-02 20:36:12,7568.5,7565.8805341,2.6194659000002503,5800975.0,3411265.0,2389710.0,215.64539372,137.70477338,1.5659979565481057,0.6385704373486397,0.5965317919075145,1.676356589147287,1.7005348455778135,89761096,49358917
2018-08-02 20:36:18,7568.5,7565.9592226245895,2.540777375410471,5845974.0,3630177.0,2215797.0,223.1891581,153.02377216999994,1.4585260507893547,0.685623681153175,0.6245694603903559,1.6011029411764706,1.6103826342351901,89964966,49790543
2018-08-02 20:36:25,7568.5,7566.034632460656,2.465367539343788,5687211.0,3940328.0,1746883.0,197.96687244999998,169.6798085,1.166708485824346,0.857112133965018,0.6926713947990544,1.4436860068259385,1.4433344127696983,90108195,50320731
2018-08-02 20:36:31,7568.5,7566.110042296721,2.389957703278924,5649259.0,4326404.0,1322855.0,204.59148292999998,179.15275242999994,1.1419946395182496,0.8756608528581623,0.7604290822407628,1.3150470219435737,1.3057631695976613,90198657,50881447
2018-08-02 20:36:37,7568.5,7566.185452132788,2.314547867212241,5565854.0,4614498.0,951356.0,202.37939677999995,176.91859241999995,1.1439125419874285,0.8741927055564969,0.8196125907990315,1.2200886262924668,1.2061667379636962,90410010,51480222
2018-08-02 20:36:43,7568.5,7566.249386559017,2.2506134409832157,5452456.0,4804291.0,648165.0,206.06675988999996,181.21824739999994,1.137119262803333,0.8794152317275026,0.8714462299134734,1.147517730496454,1.1349137677130714,90538295,52132015
2018-08-02 20:36:51,7568.5,7566.313320985246,2.1866790147541906,5407171.0,4789435.0,617736.0,189.98582927999996,170.60478018999999,1.1136020284332924,0.8979868700552592,0.8813982521847691,1.1345609065155808,1.1289788879064022,90674112,52677699
2018-08-02 20:36:57,7568.5,7566.378894755738,2.121105244262253,5339531.0,4547274.0,792257.0,191.30172613999997,148.99070449999996,1.2839843048060762,0.7788257194865267,0.8565989847715736,1.1674074074074074,1.1742268004962972,90757478,53049336
2018-08-02 20:37:03,7568.5,7566.44446852623,2.0555314737703156,5219055.0,4282383.0,936672.0,186.44799915,142.27077544999995,1.310515097427903,0.7630587407673983,0.8303108808290155,1.204368174726989,1.2187268163543523,90810687,53133014
2018-08-02 20:37:10,7568.5,7566.506763608197,1.9932363918032934,5121200.0,3880799.0,1240401.0,193.54581219,124.11877238999998,1.559359704121547,0.6412888555199278,0.769433465085639,1.2996575342465753,1.3196251596642856,90553587,53277117
2018-08-02 20:37:20,7568.5,7566.569058690165,1.9309413098353616,5212091.0,3600420.0,1611671.0,201.76749461999998,130.36912672999998,1.54766315983591,0.6461354291757028,0.7055771725032426,1.4172794117647058,1.4476341649029836,90364373,53322554
2018-08-02 20:37:26,7568.5,7566.631353772131,1.8686462278692488,5287577.0,3456334.0,1831243.0,203.44611505,130.91700852,1.5540082786028513,0.6434972154067682,0.6717752234993615,1.4885931558935361,1.5298223493447103,90190314,53451622
2018-08-02 20:37:33,7568.5,7566.693648854099,1.806351145901317,5408396.0,3380330.0,2028066.0,201.51039606999998,131.47813885999997,1.5326532442368346,0.6524633042472288,0.6453634085213033,1.5495145631067961,1.5999609505580816,89933188,53603389
2018-08-02 20:37:39,7568.5,7566.755943936066,1.7440560639342948,5302575.0,3425845.0,1876730.0,179.87139103,134.05505262999995,1.341772559117603,0.7452827926795843,0.6696428571428571,1.4933333333333334,1.5478152105538925,89479704,53702095
2018-08-02 20:37:45,7568.5,7566.816599673771,1.6834003262292754,5143802.0,3774381.0,1369421.0,180.33971723999997,180.82548189999994,0.9973136271785599,1.0026936088590708,0.7536041939711664,1.3269565217391304,1.3628200226739167,88958073,54164366
2018-08-02 20:37:52,7568.5,7566.877255411475,1.6227445885251655,5045334.0,4122748.0,922586.0,190.77999827,178.78567580999996,1.06708771497302,0.937130084029956,0.8306666666666667,1.203852327447833,1.2237793821014527,89033669,54717694
2018-08-02 20:38:00,7568.5,7566.93791114918,1.562088850820146,4901682.0,4266806.0,634876.0,178.81827047999997,152.96428871999996,1.169019723337684,0.8554175605736458,0.8858321870701513,1.1288819875776397,1.148794203439294,88663149,55051476
2018-08-02 20:38:06,7568.5,7566.998566886885,1.5014331131151266,4954382.0,4569560.0,384822.0,185.37959575,173.9918021,1.0654501735860806,0.938570404127122,0.931787175989086,1.0732064421669107,1.0842142350685844,88224601,55452894
2018-08-02 20:38:13,7568.5,7567.05922262459,1.4407773754101072,4984490.0,4425484.0,559006.0,185.23284346,158.44186856999997,1.169090248251924,0.855365957842215,0.8956639566395664,1.1164901664145235,1.1263152233744378,87785919,55748345
2018-08-02 20:38:19,7568.0,7567.111681640984,0.8883183590160115,4924034.0,4508756.0,415278.0,184.80332449999997,187.22717721999996,0.9870539482782894,1.0131158501967317,0.9153005464480874,1.0925373134328358,1.092104784556982,87430257,56225670
2018-08-02 20:38:25,7568.5,7567.172337378688,1.3276626213119016,4939020.0,4614726.0,324294.0,185.15321751999997,165.61293725999997,1.11798764385975,0.894464268448971,0.9242219215155616,1.08199121522694,1.0702737280609944,87082190,56657786
2018-08-02 20:38:31,7568.0,7567.224796395082,0.7752036049178059,4916290.0,4455752.0,460538.0,183.45124690999998,153.81258198999998,1.1926933709618563,0.8384384657001512,0.8995929443690638,1.1116138763197587,1.1033580863566914,86620857,57067038
2018-08-02 20:38:37,7568.0,7567.278894755737,0.7211052442626169,4939046.0,4357237.0,581809.0,188.05124479999998,145.40655856999996,1.2932789734478896,0.7732283757262317,0.8783783783783784,1.1384615384615384,1.133527049366376,86220032,57233626
2018-08-02 20:38:43,7566.0,7567.300206231148,-1.3002062311479676,4909014.0,3986137.0,922877.0,178.06390496999998,139.32361465999998,1.278059756090454,0.7824360287025777,0.8201634877384196,1.2192691029900333,1.2315216461451275,85660663,57392798
2018-08-02 20:38:50,7566.0,7567.321517706557,-1.3215177065567332,4984645.0,3849943.0,1134702.0,192.6530152,147.87473888,1.3028122088948368,0.767570332218709,0.7881241565452092,1.268835616438356,1.2947321557747737,85259792,57597594
2018-08-02 20:38:57,7566.0,7567.341189837704,-1.3411898377044054,5015010.0,3729016.0,1285994.0,185.94131810000002,138.19225466999998,1.3455263360745053,0.7432035874655875,0.765814266487214,1.3057996485061512,1.3448614862473103,84775888,57756902
2018-08-02 20:39:03,7566.0,7567.362501313115,-1.36250131311499,4939579.0,3623194.0,1316385.0,176.79489680999998,133.02227158999997,1.3290623795308172,0.7524101316847279,0.761969904240766,1.3123877917414721,1.3633216990312966,84344863,57832757
2018-08-02 20:39:10,7566.0,7567.383812788525,-1.383812788524665,4750781.0,3759358.0,991423.0,155.0222287,155.65233410999997,0.9959518409177553,1.0040646132834237,0.809322033898305,1.2356020942408377,1.263721358806477,83694820,58173564
2018-08-02 20:39:16,7566.0,7567.405124263935,-1.4051242639352495,4660069.0,3819449.0,840620.0,181.88302477000005,156.17849859999995,1.1645842827304533,0.8586755074999181,0.8350071736011477,1.197594501718213,1.2200893374934447,83293798,58650680
2018-08-02 20:39:22,7566.9146363,7567.441429777049,-0.5267934770490683,4441072.0,3698072.0,743000.0,159.43676820000005,119.87187528999999,1.3300598477689842,0.7518458674452733,0.8390461997019374,1.191829484902309,1.2009155040788821,82688972,58582324
2018-08-02 20:39:28,7566.9146363,7567.477735290165,-0.5630989901646899,4471223.0,3569247.0,901976.0,183.22534864000002,113.03787250999999,1.6209200029290258,0.6169335921532128,0.8008849557522124,1.2486187845303867,1.2527076439372227,82257791,58453387
2018-08-02 20:39:34,7566.9146363,7567.514040803279,-0.599404503279402,4667537.0,3281592.0,1385945.0,181.31125402000004,115.93933238,1.5638459381992866,0.6394491781917243,0.7144886363636364,1.3996023856858848,1.4223392182818584,81826640,58544354
2018-08-02 20:39:40,7567.0,7567.55010637705,-0.5501063770498149,4652550.0,3024365.0,1628185.0,181.48325402,119.85978882999999,1.5141295991886157,0.6604454470316643,0.6619318181818182,1.5107296137339057,1.5383559854713305,81403153,58620176
